   1 3.00    5 0.00 0.00
   2 6.00   74 0.00 0.00
   3 6.00  158 0.00 0.00
   4 5.00   36 0.00 0.00
   5 4.00   29 0.00 0.00
   6 2.00   90 0.00 0.00
   7 3.00  175 0.00 0.00
   8 3.00  129 0.00 0.00
   9 2.00  177 0.00 0.00
  10 4.00    6 0.00 0.00
   1 3.00    5 2.99 0.26
   2 6.00   74 1.65 5.77
   3 6.00  158 -5.56 2.25
   4 5.00   36 4.05 2.94
   5 4.00   29 3.50 1.94
   6 2.00   90 0.00 2.00
   7 3.00  175 -2.99 0.26
   8 3.00  129 -1.89 2.33
   9 2.00  177 -2.00 0.10
  10 4.00    6 3.98 0.42
